2025-07-26 01:01:52 - 
2025-07-26 01:01:52 - Image Name                     PID Session Name        Session#    Mem Usage
2025-07-26 01:01:53 - CrossDeviceResume.exe        17676 Console                   27     10,112 K
2025-07-26 01:01:53 - svchost.exe                   6812 Console                   27     17,412 K
2025-07-26 01:01:53 - StartMenuExperienceHost.e    13936 Console                   27     27,580 K
2025-07-26 01:01:53 - SearchHost.exe               12000 Console                   27     42,612 K
2025-07-26 01:01:53 - Widgets.exe                   6088 Console                   27     41,336 K
2025-07-26 01:01:53 - RuntimeBroker.exe            13136 Console                   27     19,760 K
2025-07-26 01:01:53 - svchost.exe                   9188 Console                   27      6,016 K
2025-07-26 01:01:53 - RuntimeBroker.exe            23688 Console                   27      7,664 K
2025-07-26 01:01:53 - msedgewebview2.exe            6668 Console                   27     48,340 K
2025-07-26 01:01:53 - msedgewebview2.exe           10676 Console                   27      1,968 K
2025-07-26 01:01:53 - msedgewebview2.exe           17120 Console                   27     24,984 K
2025-07-26 01:01:53 - msedgewebview2.exe            3772 Console                   27     20,092 K
2025-07-26 01:01:53 - msedgewebview2.exe           14300 Console                   27      5,876 K
2025-07-26 01:01:53 - ctfmon.exe                   21264 Console                   27     40,020 K
2025-07-26 01:01:53 - msedgewebview2.exe            9888 Console                   27     39,516 K
2025-07-26 01:01:53 - SecurityHealthSystray.exe     7716 Console                   27      2,608 K
2025-07-26 01:01:53 - TextInputHost.exe            23832 Console                   27     32,276 K
2025-07-26 01:01:53 - RtkAudUService64.exe          5092 Console                   27      3,144 K
2025-07-26 01:01:53 - WebCompanion.exe             16604 Console                   27     23,748 K
2025-07-26 01:01:53 - UnInstDaemon.exe             21944 Console                   27     15,260 K
2025-07-26 01:01:53 - chrome.exe                   16092 Console                   27   1,25,288 K
2025-07-26 01:01:53 - chrome.exe                   13852 Console                   27      2,860 K
2025-07-26 01:01:53 - chrome.exe                   15520 Console                   27     77,744 K
2025-07-26 01:01:53 - chrome.exe                   14048 Console                   27     32,376 K
2025-07-26 01:01:53 - chrome.exe                   22048 Console                   27      6,888 K
2025-07-26 01:01:53 - chrome.exe                   10572 Console                   27     20,744 K
2025-07-26 01:01:53 - chrome.exe                   17828 Console                   27   7,02,344 K
2025-07-26 01:01:53 - cmd.exe                      12292 Console                   27        728 K
2025-07-26 01:01:53 - conhost.exe                  18772 Console                   27      1,948 K
2025-07-26 01:01:53 - browserhost.exe              16176 Console                   27      4,804 K
2025-07-26 01:01:53 - chrome.exe                   18124 Console                   27      6,888 K
2025-07-26 01:01:53 - BingWallpaper.exe            15512 Console                   27     63,936 K
2025-07-26 01:01:53 - DesktopExtension.exe          7920 Console                   27     10,300 K
2025-07-26 01:01:53 - HP.myHP.exe                   5144 Console                   27     26,864 K
2025-07-26 01:01:53 - msedgewebview2.exe           16116 Console                   27     46,480 K
2025-07-26 01:01:53 - msedgewebview2.exe            2844 Console                   27      2,420 K
2025-07-26 01:01:53 - msedgewebview2.exe            7136 Console                   27     28,972 K
2025-07-26 01:01:53 - msedgewebview2.exe           18012 Console                   27     15,456 K
2025-07-26 01:01:53 - msedgewebview2.exe            1888 Console                   27      6,100 K
2025-07-26 01:01:53 - msedgewebview2.exe           22224 Console                   27     26,648 K
2025-07-26 01:01:53 - msedgewebview2.exe           24072 Console                   27     42,860 K
2025-07-26 01:01:53 - msedgewebview2.exe           21660 Console                   27      2,576 K
2025-07-26 01:01:53 - msedgewebview2.exe           24088 Console                   27     19,192 K
2025-07-26 01:01:53 - msedgewebview2.exe            7384 Console                   27     15,480 K
2025-07-26 01:01:53 - msedgewebview2.exe           21984 Console                   27      4,848 K
2025-07-26 01:01:53 - msedgewebview2.exe           21832 Console                   27     31,684 K
2025-07-26 01:01:53 - msedgewebview2.exe           14560 Console                   27     46,332 K
2025-07-26 01:01:53 - msedgewebview2.exe           17004 Console                   27      2,972 K
2025-07-26 01:01:53 - msedgewebview2.exe           14520 Console                   27     25,704 K
2025-07-26 01:01:53 - msedgewebview2.exe           17568 Console                   27     16,600 K
2025-07-26 01:01:53 - msedgewebview2.exe           14496 Console                   27      6,140 K
2025-07-26 01:01:53 - msedgewebview2.exe           19768 Console                   27     24,212 K
2025-07-26 01:01:53 - HPSystemEventUtilityBackg    18524 Console                   27     30,960 K
2025-07-26 01:01:53 - unsecapp.exe                  7848 Console                   27      4,728 K
2025-07-26 01:01:53 - HPSystemEventUtilityHost.    13692 Console                   27     15,528 K
2025-07-26 01:01:53 - HPMediaNetwork.exe            4748 Console                   27     23,172 K
2025-07-26 01:01:53 - HPAudioSwitch.exe            11820 Console                   27     12,560 K
2025-07-26 01:01:53 - WhatsApp.exe                 22732 Console                   27   2,40,672 K
2025-07-26 01:01:53 - svchost.exe                  22984 Console                   27     37,248 K
2025-07-26 01:01:53 - RuntimeBroker.exe             8884 Console                   27     33,164 K
2025-07-26 01:01:53 - ApplicationFrameHost.exe     21320 Console                   27     50,748 K
2025-07-26 01:01:53 - svchost.exe                   3016 Console                   27      8,152 K
2025-07-26 01:01:53 - svchost.exe                  20220 Console                   27     10,068 K
2025-07-26 01:01:53 - idea64.exe                   23840 Console                   27  13,24,748 K
2025-07-26 01:01:53 - fsnotifier.exe               21992 Console                   27      2,256 K
2025-07-26 01:01:53 - conhost.exe                  23468 Console                   27      3,740 K
2025-07-26 01:01:53 - java.exe                      8700 Console                   27     92,952 K
2025-07-26 01:01:53 - conhost.exe                   6940 Console                   27      4,728 K
2025-07-26 01:01:53 - WidgetService.exe             6480 Console                   27     16,660 K
2025-07-26 01:01:53 - java.exe                     14700 Console                   27     46,184 K
2025-07-26 01:01:53 - conhost.exe                  23660 Console                   27      7,096 K
2025-07-26 01:01:53 - dllhost.exe                   9716 Console                   27     18,856 K
2025-07-26 01:01:53 - dllhost.exe                  16300 Console                   27     20,964 K
2025-07-26 01:01:53 - dllhost.exe                  10620 Console                   27     18,780 K
2025-07-26 01:01:53 - dllhost.exe                  24436 Console                   27     20,028 K
2025-07-26 01:01:53 - WmiPrvSE.exe                 11728 Services                   0     12,808 K
2025-07-26 01:01:53 - svchost.exe                  11168 Services                   0      9,340 K
2025-07-26 01:01:53 - HxTsr.exe                     1396 Console                   27     44,868 K
2025-07-26 01:01:53 - RuntimeBroker.exe            24452 Console                   27     21,644 K
2025-07-26 01:01:53 - java.exe                     23212 Console                   27     48,584 K
2025-07-26 01:01:53 - conhost.exe                  18780 Console                   27      7,116 K
2025-07-26 01:01:53 - java.exe                      1828 Console                   27     44,804 K
2025-07-26 01:01:53 - conhost.exe                  17788 Console                   27      7,116 K
2025-07-26 01:01:53 - tasklist.exe                 16628 Console                   27     11,576 K
2025-07-26 01:01:53 - conhost.exe                  18300 Console                   27      6,972 K
2025-07-26 01:10:02 - 
2025-07-26 01:10:02 - Image Name                     PID Session Name        Session#    Mem Usage
2025-07-26 01:10:02 - ========================= ======== ================ =========== ============
2025-07-26 01:10:02 - System Idle Process              0 Services                   0          8 K
2025-07-26 01:10:02 - System                           4 Services                   0      1,324 K
2025-07-26 01:10:02 - Secure System                  140 Services                   0     41,288 K
2025-07-26 01:10:02 - Registry                       180 Services                   0     54,340 K
2025-07-26 01:10:02 - smss.exe                       696 Services                   0        172 K
2025-07-26 01:10:02 - csrss.exe                      728 Services                   0      1,916 K
2025-07-26 01:10:02 - wininit.exe                   1068 Services                   0        860 K
2025-07-26 01:10:02 - services.exe                  1140 Services                   0      6,336 K
2025-07-26 01:10:02 - LsaIso.exe                    1160 Services                   0        412 K
2025-07-26 01:10:02 - lsass.exe                     1168 Services                   0     17,300 K
2025-07-26 01:10:02 - svchost.exe                   1368 Services                   0     32,548 K
2025-07-26 01:10:02 - fontdrvhost.exe               1400 Services                   0        272 K
2025-07-26 01:10:02 - WUDFHost.exe                  1452 Services                   0        172 K
2025-07-26 01:10:02 - svchost.exe                   1536 Services                   0     17,164 K
2025-07-26 01:10:02 - svchost.exe                   1576 Services                   0      3,828 K
2025-07-26 01:10:02 - svchost.exe                   1768 Services                   0      2,176 K
2025-07-26 01:10:02 - svchost.exe                   1812 Services                   0      8,980 K
2025-07-26 01:10:02 - svchost.exe                   1820 Services                   0        904 K
2025-07-26 01:10:02 - svchost.exe                   1940 Services                   0      5,616 K
2025-07-26 01:10:02 - svchost.exe                   1964 Services                   0      1,936 K
2025-07-26 01:10:02 - svchost.exe                   1984 Services                   0      2,636 K
2025-07-26 01:10:02 - svchost.exe                   1992 Services                   0      5,280 K
2025-07-26 01:10:02 - svchost.exe                    668 Services                   0      4,492 K
2025-07-26 01:10:02 - IntelCpHDCPSvc.exe            1884 Services                   0        252 K
2025-07-26 01:10:02 - svchost.exe                    828 Services                   0      2,696 K
2025-07-26 01:10:02 - svchost.exe                   2136 Services                   0     14,372 K
2025-07-26 01:10:02 - svchost.exe                   2176 Services                   0      4,164 K
2025-07-26 01:10:02 - WUDFHost.exe                  2332 Services                   0      6,124 K
2025-07-26 01:10:02 - svchost.exe                   2376 Services                   0      4,852 K
2025-07-26 01:10:02 - svchost.exe                   2676 Services                   0      3,464 K
2025-07-26 01:10:02 - svchost.exe                   2800 Services                   0      2,152 K
2025-07-26 01:10:02 - svchost.exe                   2896 Services                   0      8,784 K
2025-07-26 01:10:02 - NVDisplay.Container.exe       3024 Services                   0     13,904 K
2025-07-26 01:10:02 - svchost.exe                   3052 Services                   0      9,500 K
2025-07-26 01:10:02 - svchost.exe                   2300 Services                   0     10,912 K
2025-07-26 01:10:02 - svchost.exe                   3080 Services                   0      2,520 K
2025-07-26 01:10:02 - svchost.exe                   3088 Services                   0      1,388 K
2025-07-26 01:10:02 - svchost.exe                   3100 Services                   0      8,220 K
2025-07-26 01:10:02 - Memory Compression            3232 Services                   0   1,10,144 K
2025-07-26 01:10:02 - svchost.exe                   3296 Services                   0      1,612 K
2025-07-26 01:10:02 - igfxCUIServiceN.exe           3360 Services                   0        964 K
2025-07-26 01:10:02 - svchost.exe                   3432 Services                   0      1,468 K
2025-07-26 01:10:02 - svchost.exe                   3440 Services                   0      3,328 K
2025-07-26 01:10:02 - AppHelperCap.exe              3456 Services                   0      8,320 K
2025-07-26 01:10:02 - NetworkCap.exe                3464 Services                   0      2,512 K
2025-07-26 01:10:02 - SysInfoCap.exe                3476 Services                   0     20,044 K
2025-07-26 01:10:02 - TouchpointAnalyticsClient     3488 Services                   0     45,232 K
2025-07-26 01:10:02 - DiagsCap.exe                  3500 Services                   0        364 K
2025-07-26 01:10:02 - svchost.exe                   3696 Services                   0      6,900 K
2025-07-26 01:10:02 - svchost.exe                   3704 Services                   0     11,800 K
2025-07-26 01:10:02 - hp-one-agent-service.exe      3776 Services                   0      4,640 K
2025-07-26 01:10:02 - svchost.exe                   3952 Services                   0     21,152 K
2025-07-26 01:10:02 - svchost.exe                    800 Services                   0     24,384 K
2025-07-26 01:10:02 - WmiPrvSE.exe                  4288 Services                   0      9,256 K
2025-07-26 01:10:02 - WmiPrvSE.exe                  4296 Services                   0     27,920 K
2025-07-26 01:10:02 - unsecapp.exe                  4448 Services                   0      2,432 K
2025-07-26 01:10:02 - svchost.exe                   4704 Services                   0      1,804 K
2025-07-26 01:10:02 - svchost.exe                   4800 Services                   0      3,224 K
2025-07-26 01:10:02 - svchost.exe                   4844 Services                   0     10,296 K
2025-07-26 01:10:02 - svchost.exe                   4872 Services                   0      2,984 K
2025-07-26 01:10:02 - spoolsv.exe                   4900 Services                   0      3,820 K
2025-07-26 01:10:02 - svchost.exe                   4936 Services                   0     13,880 K
2025-07-26 01:10:02 - svchost.exe                   5032 Services                   0      2,908 K
2025-07-26 01:10:02 - ETDService.exe                4372 Services                   0        456 K
2025-07-26 01:10:02 - svchost.exe                   4200 Services                   0     26,936 K
2025-07-26 01:10:02 - nssm.exe                      4320 Services                   0        264 K
2025-07-26 01:10:02 - svchost.exe                   4156 Services                   0     34,616 K
2025-07-26 01:10:02 - FNPLicensingService.exe       4600 Services                   0      5,772 K
2025-07-26 01:10:02 - esif_uf.exe                   4688 Services                   0        196 K
2025-07-26 01:10:02 - HPCommRecovery.exe            4152 Services                   0      2,296 K
2025-07-26 01:10:02 - OneApp.IGCC.WinService.ex     5132 Services                   0      6,112 K
2025-07-26 01:10:02 - IntelAudioService.exe         5168 Services                   0      2,044 K
2025-07-26 01:10:02 - UserAwarenessService.exe      5208 Services                   0      6,440 K
2025-07-26 01:10:02 - svchost.exe                   5232 Services                   0      2,708 K
2025-07-26 01:10:02 - jhi_service.exe               5248 Services                   0         44 K
2025-07-26 01:10:02 - mysqld.exe                    5368 Services                   0         80 K
2025-07-26 01:10:02 - RtkAudUService64.exe          5544 Services                   0      1,740 K
2025-07-26 01:10:02 - RtkBtManServ.exe              5568 Services                   0        528 K
2025-07-26 01:10:02 - expressvpnd.exe               5596 Services                   0      8,968 K
2025-07-26 01:10:02 - RstMwService.exe              5608 Services                   0         44 K
2025-07-26 01:10:02 - SECOMN64.exe                  5620 Services                   0      1,016 K
2025-07-26 01:10:02 - svchost.exe                   5640 Services                   0      3,832 K
2025-07-26 01:10:02 - svchost.exe                   5660 Services                   0        776 K
2025-07-26 01:10:02 - WMIRegistrationService.ex     5684 Services                   0        100 K
2025-07-26 01:10:02 - svchost.exe                   5776 Services                   0      6,184 K
2025-07-26 01:10:02 - svchost.exe                   5816 Services                   0      1,304 K
2025-07-26 01:10:02 - svchost.exe                   5852 Services                   0      1,156 K
2025-07-26 01:10:02 - conhost.exe                   5892 Services                   0        488 K
2025-07-26 01:10:02 - mysqld.exe                    6256 Services                   0      1,924 K
2025-07-26 01:10:02 - conhost.exe                   6408 Services                   0        444 K
2025-07-26 01:10:02 - svchost.exe                   6832 Services                   0      1,052 K
2025-07-26 01:10:02 - svchost.exe                   6576 Services                   0     14,728 K
2025-07-26 01:10:02 - svchost.exe                   6596 Services                   0     13,760 K
2025-07-26 01:10:02 - AggregatorHost.exe            8120 Services                   0      5,844 K
2025-07-26 01:10:02 - svchost.exe                   7328 Services                   0      4,096 K
2025-07-26 01:10:02 - svchost.exe                   5724 Services                   0     11,756 K
2025-07-26 01:10:02 - svchost.exe                   7008 Services                   0      2,592 K
2025-07-26 01:10:02 - svchost.exe                   7892 Services                   0      3,008 K
2025-07-26 01:10:02 - svchost.exe                   1896 Services                   0      8,336 K
2025-07-26 01:10:02 - svchost.exe                   4988 Services                   0     19,556 K
2025-07-26 01:10:02 - svchost.exe                   4740 Services                   0      2,964 K
2025-07-26 01:10:02 - svchost.exe                   2080 Services                   0     10,228 K
2025-07-26 01:10:02 - svchost.exe                  10084 Services                   0     16,432 K
2025-07-26 01:10:02 - svchost.exe                  10480 Services                   0     13,816 K
2025-07-26 01:10:02 - svchost.exe                   5944 Services                   0      8,180 K
2025-07-26 01:10:02 - svchost.exe                  13756 Services                   0      3,580 K
2025-07-26 01:10:02 - svchost.exe                  14320 Services                   0      1,040 K
2025-07-26 01:10:02 - svchost.exe                  13104 Services                   0      1,648 K
2025-07-26 01:10:02 - svchost.exe                   2780 Services                   0      3,856 K
2025-07-26 01:10:02 - SecurityHealthService.exe     9048 Services                   0      9,764 K
2025-07-26 01:10:02 - svchost.exe                   8732 Services                   0     13,120 K
2025-07-26 01:10:02 - dasHost.exe                  12364 Services                   0      4,056 K
2025-07-26 01:10:02 - svchost.exe                   8616 Services                   0      3,508 K
2025-07-26 01:10:02 - dasHost.exe                  16936 Services                   0      1,664 K
2025-07-26 01:10:02 - svchost.exe                  13792 Services                   0      1,236 K
2025-07-26 01:10:02 - svchost.exe                  15252 Services                   0      2,112 K
2025-07-26 01:10:02 - svchost.exe                   2088 Services                   0      2,536 K
2025-07-26 01:10:02 - svchost.exe                   7572 Services                   0      3,104 K
2025-07-26 01:10:02 - TouchpointGpuInfo.exe         7072 Services                   0     10,692 K
2025-07-26 01:10:02 - svchost.exe                   8152 Services                   0      8,640 K
2025-07-26 01:10:02 - servicehost.exe              10192 Services                   0     26,040 K
